"tract","Name","Incarceration_Rate_rP_gP_p50"
24033802502,"Capitol Heights, MD",0.0248
24033800701,"Upper Marlboro, MD",0.0246
11001007709,"Fairlawn, Washington, DC",0.0246
24033804300,"Hyattsville, MD",0.0246
11001007503,"Historic Anacostia, Washington, DC",0.0245
11001001902,"Manor Park, Washington, DC",0.0244
11001007304,"Congress Heights, Washington, DC",0.0244
24033801805,"Temple Hills, MD",0.0241
24033804801,"Mount Rainier, MD",0.0241
11001009505,"Northeast Washington, Washington, DC",0.0239
24033802404,"District Heights, MD",0.0236
24033803700,"Hyattsville, MD",0.0236
24033800707,"Greater Upper Marlboro, Upper Marlboro, MD",0.0236
24033802103,"District Heights, MD",0.0234
51013101404,"Virginia Square, Arlington, VA",0.0234
11001007100,"Southeast Washington, Washington, DC",0.0232
24033806708,"Greenbelt, MD",0.0231
24033806711,"Greenbelt, MD",0.0231
51013103800,"Long Branch Creek, Arlington, VA",0.023
24033805602,"Hyattsville, MD",0.0228
11001008100,"Northeast Washington, Washington, DC",0.0227
24033803519,"Landover, Hyattsville, MD",0.0226
24033801905,"Suitland, Camp Springs, MD",0.0225
51013101803,"Lyon Park, Arlington, VA",0.0222
11001009102,"Brentwood, Washington, DC",0.0222
11001011000,"Southwest Washington, Washington, DC",0.0222
11001010600,"Near Northeast, Washington, DC",0.022
11001005002,"Downtown, Washington, DC",0.0219
24033803522,"Bowie, MD",0.0218
11001009509,"Michigan Park, Washington, DC",0.0218
11001002900,"Northwest Washington, Washington, DC",0.0217
24033801901,"Temple Hills, MD",0.0217
24033801708,"Oxon Hill, MD",0.0216
24033802203,"Forestville, MD",0.0215
24033801409,"Fort Washington, MD",0.0215
51013101602,"Colonial Village, Arlington, VA",0.0214
51510200105,"Alexandria West, Alexandria, VA",0.0214
11001007707,"Benning Ridge, Washington, DC",0.0211
51013102902,"Shirlington, Arlington, VA",0.021
24033802804,"Capitol Heights, MD",0.0209
11001007404,"Douglass, Washington, DC",0.0208
51510201600,"Old Town West, Alexandria, VA",0.0208
11001010300,"Northwest Washington, Washington, DC",0.0207
11001007603,"Southeast Washington, Washington, DC",0.0206
11001009204,"Edgewood, Washington, DC",0.0206
51510201203,"Potomac West, Alexandria, VA",0.0205
24033804001,"Bladensburg, MD",0.0203
51013102901,"Shirlington, Arlington, VA",0.02
51013103000,"Shirlington, Arlington, VA",0.0199
24033802600,"Capitol Heights, MD",0.0198
24033800408,"Glenn Dale, MD",0.0198
11001002501,"16th Street Heights, Washington, DC",0.0196
24033801904,"Suitland, Camp Springs, MD",0.0196
11001007807,"Northeast Washington, Washington, DC",0.0194
11001007409,"Southeast Washington, Washington, DC",0.0193
51510200103,"Alexandria West, Alexandria, VA",0.0191
24033801906,"Morningside, MD",0.0191
24033800411,"Glenn Dale, MD",0.019
11001008804,"Northeast Washington, Washington, DC",0.0189
24033801404,"National Harbor, Oxon Hill, MD",0.0188
24033803509,"Dodge Park, Hyattsville, MD",0.0188
11001003200,"Northwest Washington, Washington, DC",0.0187
24033801500,"Oxon Hill, MD",0.0187
51013102200,"Arlington Mill, Arlington, VA",0.0186
24033801706,"Temple Hills, MD",0.0184
24033802001,"Suitland, Suitland-Silver Hill, MD",0.0182
51510201801,"Northeast Alexandria, Alexandria, VA",0.0181
11001007808,"Grant Park, Washington, DC",0.018
51510200405,"Landmark, Alexandria, VA",0.018
11001008302,"Northeast Washington, Washington, DC",0.018
24033803613,"Lanham, MD",0.0178
51510200302,"Seminary Hill, Alexandria, VA",0.0175
24033804600,"Brentwood, MD",0.0175
24031704804,"Bethesda, MD",0.0175
24033803601,"Springdale, MD",0.0174
11001008904,"Carver / Langston, Washington, DC",0.0173
24033804101,"Cheverly, MD",0.0172
11001001901,"Brightwood, Washington, DC",0.0171
24033802201,"Upper Marlboro, MD",0.0171
24033805101,"Chillum, MD",0.017
11001000501,"Northwest Washington, Washington, DC",0.017
11001006500,"Southeast Washington, Washington, DC",0.0168
51013101402,"Virginia Square, Arlington, VA",0.0168
24033801214,"Clinton, MD",0.0168
24033802204,"District Heights, MD",0.0168
51510201802,"Old Town, Alexandria, VA",0.0168
24033800706,"Upper Marlboro, MD",0.0167
51013103503,"Crystal City, Arlington, VA",0.0165
24033800412,"Lanham, MD",0.0165
11001007604,"Southeast Washington, Washington, DC",0.0164
11001000400,"Naval Observatory, Washington, DC",0.0164
11001005001,"Logan Circle, Washington, DC",0.0164
51013103200,"Columbia Heights, Arlington, VA",0.0164
51013102801,"Columbia Forest, Arlington, VA",0.0164
51510201900,"Old Town, Alexandria, VA",0.0163
11001002101,"Brightwood Park, Washington, DC",0.0163
51059452801,"Alexandria, VA",0.0163
11001009507,"Northeast Washington, Washington, DC",0.0162
24033803512,"Upper Marlboro, MD",0.0162
24033803527,"Upper Marlboro, MD",0.0161
24031701701,"Takoma Park, MD",0.016
51059420502,"Alexandria, VA",0.016
24033803608,"Lanham, MD",0.0158
24033803801,"Hyattsville, MD",0.0158
24033806200,"Hyattsville, MD",0.0158
51059420503,"Alexandria, VA",0.0157
24033801104,"Joint Base Andrews, MD",0.0156
24031704805,"Bethesda, MD",0.0155
11001005600,"Northwest Washington, Washington, DC",0.0154
24033803514,"Largo, MD",0.0148
51013101701,"Radnor - Fort Myer Heights, Arlington, VA",0.0147
11001002201,"Northwest Washington, Washington, DC",0.0147
24031701704,"Takoma Park, MD",0.0147
51510200406,"Landmark, Alexandria, VA",0.0146
24031704803,"Bethesda, MD",0.0145
51059470600,"McLean, VA",0.0145
51059420400,"Alexandria, VA",0.0144
11001009301,"Northeast Washington, Washington, DC",0.0143
11001001302,"Forest Hills, Washington, DC",0.0142
24033806000,"Hyattsville, MD",0.0142
24033803602,"Glenarden, MD",0.0142
24033801212,"Camp Springs, MD",0.0141
51059451100,"Falls Church, VA",0.014
51510200301,"Seminary Hill, Alexandria, VA",0.014
51059451400,"Seven Corners, VA",0.014
24033805500,"Hyattsville, MD",0.014
11001007809,"Northeast Washington, Washington, DC",0.0139
51510200104,"Alexandria West, Alexandria, VA",0.0139
24033803607,"Lanham, MD",0.0139
24033804900,"Hyattsville, MD",0.0138
